Date,Artists,Day,Showtime,Genre,Returning Act
10/16/15,Band475,Fri,8:00:00 PM,Metal,
10/18/15,Band43,Sun,8:00:00 PM,Americana,
10/20/15,Band101,Tue,8:00:00 PM,Indie,
10/21/15,Band339,Wed,8:00:00 PM,Electronic,
10/22/15,Band336,Thu,9:00:00 PM,Americana,
10/23/15,Band130,Fri,8:00:00 PM,Americana,x
10/27/15,Band257,Tue,8:00:00 PM,Americana,x
11/12/15,Band452,Thu,8:00:00 PM,Americana,
11/17/15,Band28,Tue,7:00:00 PM,Punk,
11/20/15,Band195,Fri,9:00:00 PM,Indie,
11/21/15,Band116,Sat,2:00:00 PM,Roots/Rock,
11/21/15,Band143,Sat,2:00:00 PM,Roots/Rock,
12/2/15,Band411,Wed,8:00:00 PM,indie,
12/12/15,Band168,Sat,7:30:00 PM,Metal,
12/18/15,Band22,Fri,8:00:00 PM,Americana,
1/8/16,Band404,Fri,9:00:00 PM,punk,
1/20/16,Band258,Wed,7:00:00 PM,Americana,
1/21/16,Band472,Thu,9:00:00 PM,Roots/Rock,x
1/31/16,Band24,Sun,2:15:00 PM,Americana,
2/2/16,Band7,Tue,8:00:00 PM,Americana,
2/11/16,Band57,Thu,8:00:00 PM,hip hop,
2/18/16,Band263,Thu,9:00:00 PM,Comedy,
2/19/16,Band284,Fri,8:00:00 PM,indie,
2/24/16,Band159,Wed,8:00:00 PM,Folk,
2/25/16,Band440,Thu,8:00:00 PM,Folk,
2/28/16,Band306,Sun,8:00:00 PM,roots/rock,x
3/8/16,Band107,Tue,8:00:00 PM,Indie,
3/9/16,Band290,Wed,8:00:00 PM,Americana,
3/10/16,Band418,Thu,7:30:00 PM,Folk,x
3/11/16,Band321,Fri,9:00:00 PM,Electronic,
3/17/16,Band146,Thu,9:00:00 PM,Roots/Rock,
3/18/16,Band124,Fri,8:00:00 PM,Folk,
3/24/16,Band32,Thu,9:00:00 PM,Electronic,
3/27/16,Band137,Sun,6:00:00 PM,Punk,
3/27/16,Band425,Sun,6:00:00 PM,Punk,
3/28/16,Band68,Mon,8:00:00 PM,Comedy,
3/31/16,Band55,Thu,8:00:00 PM,Electronic,
3/31/16,Band73,Thu,8:00:00 PM,Electronic,
4/2/16,Band115,Sat,9:00:00 PM,Americana,x
4/3/16,Band454,Sun,8:00:00 PM,Indie,x
4/7/16,Band172,Thu,9:00:00 PM,Roots/Rock,
4/10/16,Band102,Sun,1:00:00 PM,Folk,
4/11/16,Band128,Mon,8:00:00 PM,World,
4/12/16,Band183,Tue,8:00:00 PM,Punk,
4/12/16,Band430,Tue,8:00:00 PM,Punk,
4/13/16,Band100,Wed,8:00:00 PM,Americana,
4/13/16,Band103,Wed,8:00:00 PM,Americana,
4/17/16,Band71,Sun,8:00:00 PM,Roots/Rock,
4/18/16,Band234,Mon,8:00:00 PM,Americana,
4/22/16,Band438,Fri,9:00:00 PM,Indie,
4/24/16,Band165,Sun,8:00:00 PM,Roots/Rock,
5/3/16,Band465,Tue,9:00:00 PM,Indie,
5/4/16,Band356,Wed,8:00:00 PM,Roots/Rock,
5/8/16,Band91,Sun,8:00:00 PM,Roots/Rock,x
5/10/16,Band444,Tue,7:00:00 PM,Movies & Podcasts,
5/12/16,Band52,Thu,8:00:00 PM,Indie,
5/13/16,Band257,Fri,9:00:00 PM,Americana,x
5/15/16,Band9,Sun,8:00:00 PM,Indie,
5/25/16,Band175,Wed,8:00:00 PM,Americana,
5/26/16,Band173,Thu,9:00:00 PM,hip hop,
5/27/16,Band232,Fri,8:00:00 PM,Americana,
5/29/16,Band287,Sun,8:00:00 PM,Roots/Rock,
6/1/16,Band181,Wed,8:00:00 PM,Roots/Rock,
6/2/16,Band270,Thu,9:00:00 PM,Roots/Rock,
6/3/16,Band324,Fri,9:00:00 PM,Roots/Rock,
6/4/16,Band221,Sat,9:00:00 PM,Americana,
6/8/16,Band109,Wed,8:00:00 PM,americana,
6/10/16,Band208,Fri,8:00:00 PM,indie,
6/11/16,Band224,Sat,8:00:00 PM,Punk,x
6/12/16,Band313,Sun,7:30:00 PM,Punk,
6/12/16,Band401,Sun,7:30:00 PM,Punk,
6/15/16,Band141,Wed,7:00:00 PM,Americana,
6/16/16,Band341,Thu,8:00:00 PM,Americana,x
6/17/16,Band239,Fri,9:00:00 PM,World,
6/19/16,Band196,Sun,8:00:00 PM,Americana,
6/25/16,Band110,Sat,9:00:00 PM,Roots/Rock,
7/1/16,Band238,Fri,9:00:00 PM,Americana,x
7/5/16,Band293,Tue,7:30:00 PM,Metal,x 
7/12/16,Band98,Tue,8:00:00 PM,Americana,
7/17/16,Band319,Sun,8:00:00 PM,Americana,
7/18/16,Band253,Mon,8:00:00 PM,Roots/Rock,
7/22/16,Band199,Fri,8:00:00 PM,Americana,
7/26/16,Band30,Tue,8:00:00 PM,Comedy,
8/5/16,Band171,Fri,9:00:00 PM,Roots/Rock,
8/11/16,Band82,Thu,8:00:00 PM,Indie,
8/12/16,Band211,Fri,9:00:00 PM,Roots/Rock,
8/19/16,Band472,Fri,9:00:00 PM,Roots/Rock,x
8/24/16,Band2,Wed,8:00:00 PM,Movies & Podcasts,
8/25/16,Band190,Thu,8:00:00 PM,Roots/Rock,x
8/27/16,Band90,Sat,8:00:00 PM,Americana,
8/28/16,Band161,Sun,8:00:00 PM,Folk,
9/7/16,Band352,Wed,8:00:00 PM,Americana,
9/8/16,Band386,Thu,8:00:00 PM,R&B/Soul,
9/15/16,Band468,Thu,9:00:00 PM,Metal,
9/16/16,Band236,Fri,8:00:00 PM,Americana,
9/18/16,Band12,Sun,1:00:00 PM,Folk,
9/19/16,Band86,Mon,8:00:00 PM,Roots/Rock,
10/2/16,Band345,Sun,1:00:00 PM,Metal,x
10/5/16,Band147,Wed,8:00:00 PM,Roots/Rock,x
10/6/16,Band58,Thu,8:00:00 PM,Indie,x
10/7/16,Band358,Fri,9:00:00 PM,Roots/Rock,
10/21/16,Band218,Fri,9:00:00 PM,R&B/Soul,
10/22/16,Band448,Sat,9:00:00 PM,Roots/Rock,x
10/28/16,Band113,Fri,8:00:00 PM,Folk,
10/29/16,Band415,Sat,9:00:00 PM,Roots/Rock,
11/3/16,Band322,Thu,8:00:00 PM,Americana,x
11/5/16,Band445,Sat,9:00:00 PM,Punk,
11/13/16,Band5,Sun,8:00:00 PM,Folk,
11/16/16,Band274,Wed,8:00:00 PM,Indie,
11/17/16,Band167,Thu,8:00:00 PM,Metal,
11/20/16,Band213,Sun,8:00:00 PM,Roots/Rock,
12/3/16,Band201,Sat,12:00:00 PM,Folk,
12/4/16,Band367,Sun,8:00:00 PM,Punk,
12/8/16,Band203,Thu,9:00:00 PM,Indie,
12/9/16,Band423,Fri,9:00:00 PM,Americana,
12/10/16,Band93,Sat,7:30:00 PM,Metal,x
12/17/16,Band431,Sat,8:30:00 PM,Roots/Rock,x
12/26/16,Band229,Mon,9:00:00 PM,Indie,
1/18/17,Band125,Wed,8:00:00 PM,Roots/Rock,
1/19/17,Band307,Thu,8:00:00 PM,Folk,
1/24/17,Band112,Tue,8:00:00 PM,Roots/Rock,
1/27/17,Band87,Fri,9:00:00 PM,Electronic,x
1/29/17,Band35,Sun,8:00:00 PM,Electronic,
2/3/17,Band306,Fri,8:00:00 PM,roots/rock,x
2/9/17,Band120,Thu,7:45:00 PM,Roots/Rock,
2/16/17,Band381,Thu,9:00:00 PM,hip hop,x
2/17/17,Band381,Fri,9:00:00 PM,hip hop,x
2/19/17,Band279,Sun,8:00:00 PM,Comedy,
2/22/17,Band225,Wed,8:00:00 PM,Punk,
2/23/17,Band342,Thu,8:00:00 PM,Americana,
3/5/17,Band206,Sun,7:00:00 PM,Americana,
3/8/17,Band46,Wed,8:00:00 PM,Indie,
3/10/17,Band400,Fri,8:00:00 PM,Punk,
3/12/17,Band223,Sun,8:00:00 PM,Indie,
3/15/17,Band351,Wed,8:00:00 PM,Americana,
3/18/17,Band282,Sat,8:00:00 PM,Punk,
3/23/17,Band227,Thu,8:00:00 PM,Americana,
3/25/17,Band53,Sat,9:00:00 PM,hip hop,
3/26/17,Band242,Sun,8:00:00 PM,Americana,
3/30/17,Band240,Thu,9:00:00 PM,World,
4/6/17,Band114,Thu,8:00:00 PM,Roots/Rock,
4/10/17,Band370,Mon,8:00:00 PM,Indie,x
4/19/17,Band226,Wed,8:00:00 PM,Indie,
4/19/17,Band464,Wed,8:00:00 PM,Indie,
4/20/17,Band92,Thu,8:00:00 PM,Americana,x
4/20/17,Band346,Thu,8:00:00 PM,Americana,x
4/27/17,Band369,Thu,8:00:00 PM,Roots/Rock,
4/30/17,Band130,Sun,8:00:00 PM,Americana,x
5/4/17,Band276,Thu,9:00:00 PM,Metal,x
5/9/17,Band323,Tue,8:00:00 PM,Roots/Rock,x
5/10/17,Band185,Wed,8:00:00 PM,Roots/Rock,
5/11/17,Band256,Thu,9:00:00 PM,World,
5/12/17,Band389,Fri,8:00:00 PM,Roots/Rock,x
5/13/17,Band429,Sat,9:00:00 PM,Indie,
5/14/17,Band311,Sun,8:00:00 PM,Indie,
5/22/17,Band41,Mon,8:00:00 PM,Metal,
5/26/17,Band472,Fri,9:00:00 PM,Roots/Rock,x
5/28/17,Band38,Sun,8:00:00 PM,Folk,
5/30/17,Band45,Tue,8:00:00 PM,Americana,
5/31/17,Band410,Wed,8:00:00 PM,Indie,
6/3/17,Band403,Sat,9:00:00 PM,Folk,
6/12/17,Band190,Mon,7:30:00 PM,Roots/Rock,x
6/14/17,Band189,Wed,8:00:00 PM,World,
6/15/17,Band318,Thu,8:00:00 PM,Americana,
6/16/17,Band142,Fri,9:00:00 PM,Indie,
6/20/17,Band205,Tue,8:00:00 PM,Folk,
6/22/17,Band37,Thu,8:00:00 PM,Roots/Rock,
6/30/17,Band63,Fri,9:00:00 PM,Indie,
7/5/17,Band164,Wed,7:30:00 PM,Punk,
7/7/17,Band392,Fri,9:00:00 PM,hip hop,x
7/14/17,Band136,Fri,9:00:00 PM,Americana,
7/15/17,Band94,Sat,9:00:00 PM,Roots/Rock,
7/23/17,Band422,Sun,8:00:00 PM,Americana,x
7/29/17,Band126,Sat,8:00:00 PM,R&B/Soul,x
7/30/17,Band148,Sun,8:00:00 PM,Roots/Rock,x
8/2/17,Band310,Wed,7:30:00 PM,Metal,
