Reference #,Date,Artist,Touring/Local
386,10/16/15,Band475,Touring Act
629,10/18/15,Band43,Touring Act
485,10/20/15,Band101,Touring Act
74,10/21/15,Band339,Touring Act
127,10/22/15,Band336,Touring Act
197,10/23/15,Band130,Touring Act
766,10/27/15,Band257,Touring Act
310,11/12/15,Band452,Touring Act
187,11/17/15,Band28,Touring Act
81,11/20/15,Band195,Touring Act
195,11/21/15,Band116,Touring Act
411,11/21/15,Band143,Touring Act
737,12/2/15,Band411,Touring Act
686,12/12/15,Band168,Touring Act
177,12/18/15,Band22,Touring Act
591,1/8/16,Band404,Touring Act
684,1/20/16,Band258,Touring Act
1058,1/21/16,Band472,Touring Act
40,1/31/16,Band24,Touring Act
108,2/2/16,Band7,Touring Act
1048,2/11/16,Band57,Touring Act
341,2/18/16,Band263,Touring Act
336,2/19/16,Band284,Touring Act
626,2/24/16,Band159,Touring Act
921,2/25/16,Band440,Touring Act
179,2/28/16,Band306,Touring Act
450,3/8/16,Band107,Touring Act
618,3/9/16,Band290,Touring Act
1019,3/10/16,Band418,Touring Act
358,3/11/16,Band321,Touring Act
144,3/17/16,Band146,Touring Act
286,3/18/16,Band124,Touring Act
614,3/24/16,Band32,Touring Act
448,3/27/16,Band137,Touring Act
54,3/27/16,Band425,Touring Act
64,3/28/16,Band68,Touring Act
250,3/31/16,Band55,Touring Act
249,3/31/16,Band73,Touring Act
397,4/2/16,Band115,Touring Act
155,4/3/16,Band454,Touring Act
376,4/7/16,Band172,Local
525,4/10/16,Band102,Touring Act
1129,4/11/16,Band128,Touring Act
437,4/12/16,Band183,Touring Act
1139,4/12/16,Band430,Touring Act
385,4/13/16,Band100,Touring Act
461,4/13/16,Band103,Touring Act
1085,4/17/16,Band71,Touring Act
229,4/18/16,Band234,Touring Act
594,4/22/16,Band438,Touring Act
146,4/24/16,Band165,Touring Act
1053,5/3/16,Band465,Touring Act
815,5/4/16,Band356,Touring Act
513,5/8/16,Band91,Touring Act
184,5/10/16,Band444,Touring Act
623,5/12/16,Band52,Touring Act
363,5/13/16,Band257,Touring Act
1026,5/15/16,Band9,Touring Act
526,5/25/16,Band175,Touring Act
294,5/26/16,Band173,Touring Act
417,5/27/16,Band232,Touring Act
365,5/29/16,Band287,Local
67,6/1/16,Band181,Touring Act
636,6/2/16,Band270,Touring Act
1036,6/3/16,Band324,Local
731,6/4/16,Band221,Touring Act
678,6/8/16,Band109,Touring Act
699,6/10/16,Band208,Touring Act
205,6/11/16,Band224,Touring Act
610,6/12/16,Band313,Touring Act
56,6/12/16,Band401,Touring Act
655,6/15/16,Band141,Touring Act
290,6/16/16,Band341,Touring Act
1112,6/17/16,Band239,Touring Act
351,6/19/16,Band196,Touring Act
593,6/25/16,Band110,Touring Act
60,7/1/16,Band238,Local
700,7/5/16,Band293,Touring Act
160,7/12/16,Band98,Touring Act
116,7/17/16,Band319,Touring Act
834,7/18/16,Band253,Touring Act
165,7/22/16,Band199,Touring Act
149,7/26/16,Band30,Touring Act
164,8/5/16,Band171,Touring Act
1030,8/11/16,Band82,Touring Act
894,8/12/16,Band211,Touring Act
1092,8/19/16,Band472,Touring Act
142,8/24/16,Band2,Touring Act
337,8/25/16,Band190,Touring Act
1071,8/27/16,Band90,Touring Act
856,8/28/16,Band161,Touring Act
1135,9/7/16,Band352,Touring Act
371,9/8/16,Band386,Touring Act
367,9/15/16,Band468,Touring Act
246,9/16/16,Band236,Touring Act
759,9/18/16,Band12,Touring Act
721,9/19/16,Band86,Touring Act
1005,10/2/16,Band345,Touring Act
378,10/5/16,Band147,Touring Act
194,10/6/16,Band58,Touring Act
93,10/7/16,Band358,Touring Act
85,10/21/16,Band218,Touring Act
749,10/22/16,Band448,Local
